quarter,n_reviews,topic_0_sent,topic_0_prev,topic_1_sent,topic_1_prev,topic_2_sent,topic_2_prev,topic_3_sent,topic_3_prev,topic_4_sent,topic_4_prev,topic_5_sent,topic_5_prev,topic_6_sent,topic_6_prev,topic_7_sent,topic_7_prev,EPI
2015Q1,413,0.8738378343086455,0.2643159397743091,0.8909623136283706,0.03998411701147135,0.8969600122175436,0.1231157434481444,0.4261552115606318,0.11709309751148404,0.8659582983948002,0.10812768592948463,0.601212629030523,0.09907896796163673,0.785487831507435,0.12175762324014414,0.8803331393165282,0.12652682512332555,0.776878871967301
2015Q2,611,0.9038478870791186,0.24552297305899312,0.879140287837552,0.04784213379290609,0.8831832513538395,0.10066822759811862,0.45271464742654716,0.14536671743562035,0.7863473647467165,0.11709676026315383,0.5683552977220034,0.10374247656868996,0.7921556715529324,0.11419050213236648,0.9112896818660791,0.1255702091501517,0.7787128503440904
2015Q3,584,0.8941687272926756,0.23874590364888593,0.883870925078228,0.05032207765198647,0.9057606035528527,0.10014700639041921,0.48219250673196573,0.12049785861050327,0.8251083240412334,0.10478727213764844,0.5389777131343044,0.12318859554195145,0.8081305583050694,0.12219186647911255,0.8925128246756635,0.14011941953949283,0.783082063879437
2016Q1,553,0.9081776268621595,0.2501987088184894,0.8791455407252694,0.04388766918062835,0.8993629054093109,0.11437359758767503,0.4140709259656569,0.11299092770510115,0.8180147145231159,0.11639527354926385,0.5350224818964595,0.11106505736505236,0.8583512955444496,0.11671386103547346,0.9223291154068004,0.13437490475831598,0.7852468398108893
2016Q2,584,0.9090099293615481,0.22042798333183086,0.9422762713799916,0.050488334890989056,0.84763360415312,0.10085636213201508,0.4618469963595365,0.1369477915700912,0.8101418490149824,0.11562761124975483,0.58556547428387,0.11649150407638842,0.8389047967792078,0.11414927329046771,0.9020398738733372,0.14501113945846264,0.7881481577877112
2016Q3,497,0.9206168799451953,0.23103439381994786,0.8902068393676604,0.04024028733712788,0.8922637301242596,0.10509605944377487,0.3168645617650633,0.1447471049733419,0.833818663078133,0.11410817775681775,0.5169168988440648,0.11879007903104197,0.8465116616892487,0.12088755791916891,0.9072882683138332,0.12509633971877832,0.7703964255425548
2017Q1,380,0.9066085368727744,0.2378991683425276,0.9624493411592423,0.056310834532622395,0.8781277066074126,0.13090074255531953,0.4241502279593065,0.11764167911175771,0.8992418443608053,0.09120176759210055,0.5305443248659133,0.1057059778734284,0.8307055536579664,0.12142099444604976,0.9136166492852298,0.13891883554619397,0.7909497128492453
2017Q2,118,0.8585163562874366,0.2757106455487767,0.9639811309279952,0.04208433732009068,0.9377461883161947,0.1235260744797151,0.22596467088033495,0.127729101551593,0.8164409504561672,0.08289283198141592,0.3514828400912301,0.08893762887433847,0.9267202954968617,0.11508889904325327,0.885576853379515,0.14403048120081682,0.7392958326422222
2017Q3,408,0.9046501495961781,0.22327995849846066,0.8791887249178463,0.05212330989527031,0.8502735297705682,0.11712757699971076,0.263905144037612,0.13246458712599113,0.8095620706221344,0.08065098334001079,0.44134942749218276,0.13373678753074997,0.8386584596109927,0.11764242216533588,0.837945051854942,0.14297437444447045,0.7318035270425185
2018Q1,453,0.8506353003302501,0.2086081684171124,0.7411469903075262,0.044505487227201726,0.861119667329907,0.11393178903637592,0.25359414220429316,0.1467247174067785,0.7920927346593244,0.09698600537446017,0.46970778696778764,0.13459902567655266,0.7794866020700857,0.13005735218102177,0.8823285298333053,0.12458745468049696,0.7149139396667401
2018Q2,453,0.9203051659948251,0.20782518138725062,0.8789105486872667,0.051362709725239306,0.8714407435783933,0.12948961812082752,0.4240017821428474,0.13166642580431445,0.8200829546102981,0.10768300351148494,0.4954172713223172,0.10275856893805531,0.8353708461955989,0.1137137564486893,0.9178332577758636,0.15550073606413897,0.7784601637326323
2018Q3,444,0.8680573869947169,0.21096563775622607,0.9064016553935703,0.049652707445424195,0.8951861813143612,0.12568860318117853,0.3979938601097753,0.1289649656828862,0.8351584548978362,0.10677532409021179,0.46163404676516434,0.10442376659044,0.84081777507975,0.12164812183752974,0.9088225140196606,0.15188087341610368,0.764702590684263
2019Q1,389,0.8642605588626194,0.19278226257353245,0.9070224413228971,0.05465978613120531,0.9023383790903762,0.16477524512457836,0.36677362771929894,0.13195656211300885,0.8540005592462592,0.08488634201021385,0.36432306528496916,0.12260177685077951,0.7689842800827641,0.12099496082953728,0.9033069230081233,0.12734306436714413,0.7426056661459816
2019Q2,345,0.8966472606821313,0.19017406036897022,0.9090076367057199,0.05511965383724538,0.9168238870180505,0.14381848082057794,0.4219764582349488,0.11579171342963404,0.7865819733589691,0.09944342747293765,0.4819933392064219,0.10287602326201864,0.8931846653423334,0.09425539382412473,0.9406738691749942,0.19852124698449133,0.7851127755289928
2019Q3,318,0.9159497547538987,0.19869510356303982,0.838598745954871,0.04113263580079175,0.8770398868009136,0.12647920885482386,0.21817000867352276,0.1393167153798059,0.789372242403719,0.08480907280851913,0.31227033973743823,0.1248923487375702,0.7738998211052186,0.12302338304208288,0.8590753938343045,0.1616515318133663,0.7088925387135612
2020Q1,181,0.8949099875635323,0.15666582991240335,0.8979437588359885,0.04225538888552585,0.8526722767604771,0.15979944860291764,0.3968314267425372,0.11743306428463542,0.8354440548152514,0.0934262955002282,0.4419173432631507,0.07858323964003933,0.8522254318748316,0.1200100673898881,0.9002125019836685,0.2318266657843619,0.7628475998622116
2020Q2,5,0.9960371610102406,0.48287578871696724,0.9961362931651605,0.006165334595334048,0.9961357073448482,0.006166601845963978,0.9991025999943887,0.06160545379662755,0.99613437423183,0.006163634372873454,0.9961388571113329,0.006168714551104262,0.9961365834181289,0.0061687085907538046,0.9941557304093656,0.4246857635303757,0.9962056993343955
2020Q3,59,0.8149432771638803,0.06665190922379545,0.7889875831352446,0.03221076232989727,0.7694431753459118,0.06339147633515457,0.17610269126082706,0.2883065996833991,0.7551838815394033,0.06958014573152099,0.11033137528709162,0.0681166911858771,0.8408277862909345,0.10367310411484898,0.8559497890905857,0.30806931139550664,0.647930438605499
2021Q1,40,0.9613253073896495,0.06341309714943394,0.7828402368103438,0.020398270049307894,0.3568343982724985,0.016267781836536873,0.28471235850412424,0.2945189360883701,0.9785777378945018,0.10504524588230561,0.3858027476553364,0.038635162686737376,0.8672989633082019,0.056987085649599145,0.9043038094509791,0.40473442065770887,0.7096382565153547
2021Q2,40,0.9855819026362198,0.044408336319890725,0.9897008572677929,0.04996937328972318,0.9134687094944143,0.038752247639614816,0.41558575133117076,0.2648432051237634,0.9908016282817673,0.0976522144791783,0.6837225096223531,0.02916860222059281,0.9881987556822109,0.04603203222841243,0.9646303500657271,0.4291739886988243,0.8646684851245268
2021Q3,34,0.8978289386881422,0.09520687440616932,0.9724088208029416,0.031234031193935894,0.9562058078591242,0.04718304654257259,0.6998809835272931,0.2846546560439192,0.901813393049046,0.09589652332003816,0.5975100161232165,0.06480385266109645,0.6907511798629504,0.029254482118068043,0.9662480195121057,0.35176653371420036,0.8356387634165071
2022Q1,44,0.9931019166044972,0.07619284390044473,0.9617350260125527,0.05613241350535281,0.7961708156331445,0.06811423776614846,0.40609318486354146,0.15679030576349542,0.8082080894398074,0.06175714785308815,0.5601528294415778,0.02388420815526592,0.8918452668083169,0.07118635361676999,0.9481671196224598,0.48594248943943463,0.8041229480028124
2022Q2,77,0.9302536467271498,0.1470123758490992,0.8934314485455522,0.016826865710035988,0.9205936859734488,0.07731234544300741,0.5915765879176537,0.2008292708796333,0.8695758304173167,0.10961349571473696,0.44262147100561733,0.049711813929262716,0.9302317887455124,0.08255822290415815,0.9845366931266074,0.31613560957006626,0.8303394331391887
2022Q3,93,0.8562556900015155,0.1025134917099677,0.6226558279045685,0.026131225344602042,0.8961314326624069,0.09258241195246668,0.12408149906965799,0.16736779607813196,0.7783719371743497,0.05653028532290248,0.20983577426485123,0.08202282944113436,0.8064412820073698,0.05672545454944058,0.9680318064067617,0.4161265056013542,0.6837215266111174
